Customer ID,Gender,Region,Age,Product Name,Category,Unit Price,Quantity,Total Price,Shipping Fee,Shipping Status,Order Date,Age_group,Year,Month_name,Day,Delivered,AgeGroup
CUST0268,Male,North,,Monitor,Electronics,300.0,5,1500,13.31,Returned,2023-12-08,Unknown,2023,December,8,False,
CUST0046,Male,West,22.0,Headphones,Accessories,100.0,2,200,6.93,In Transit,2023-04-09,"(18, 25]",2023,April,9,False,20-29
CUST0169,Female,South,54.0,Monitor,Electronics,300.0,1,300,11.31,Returned,2023-08-28,"(50, 100]",2023,August,28,False,50-59
CUST0002,Male,North,23.0,Headphones,Accessories,100.0,5,500,12.22,Delivered,2023-01-18,"(18, 25]",2023,January,18,True,20-29
CUST0173,Female,South,,Laptop,Electronics,1500.0,3,4500,5.4,Delivered,2023-01-19,Unknown,2023,January,19,True,
CUST0147,Male,North,64.0,Smartwatch,Wearables,200.0,2,400,11.26,In Transit,2023-01-11,"(50, 100]",2023,January,11,False,60+
CUST0262,Male,East,27.0,Smartwatch,Wearables,200.0,1,200,18.38,In Transit,2023-10-23,"(25, 35]",2023,October,23,False,20-29
CUST0159,Female,South,18.0,Keyboard,Accessories,50.0,2,100,15.08,Returned,2023-06-15,Unknown,2023,June,15,False,<20
CUST0046,Female,East,22.0,Mouse,Accessories,30.0,1,30,8.22,Returned,2023-02-25,"(18, 25]",2023,February,25,False,20-29
CUST0023,Male,West,29.0,Headphones,Accessories,100.0,3,300,10.7,Delivered,2023-04-23,"(25, 35]",2023,April,23,True,20-29
CUST0201,Female,East,49.0,Headphones,Accessories,100.0,2,200,9.8,Returned,2023-06-01,"(35, 50]",2023,June,1,False,40-49
CUST0283,Female,West,67.0,Mouse,Accessories,30.0,3,90,5.65,In Transit,2023-09-13,"(50, 100]",2023,September,13,False,60+
CUST0199,Female,West,41.0,Keyboard,Accessories,50.0,5,250,7.13,Delivered,2023-02-17,"(35, 50]",2023,February,17,True,40-49
CUST0039,Male,South,60.0,Keyboard,Accessories,50.0,4,200,10.91,Returned,2023-12-10,"(50, 100]",2023,December,10,False,50-59
CUST0276,Male,West,66.0,Mouse,Accessories,30.0,1,30,11.36,In Transit,2023-06-29,"(50, 100]",2023,June,29,False,60+
CUST0143,Female,Unknown,36.0,Smartwatch,Wearables,200.0,3,600,7.89,Delivered,2023-07-14,"(35, 50]",2023,July,14,True,30-39
CUST0139,Male,North,57.0,Laptop,Electronics,1500.0,4,6000,10.92,In Transit,2023-05-13,"(50, 100]",2023,May,13,False,50-59
CUST0210,Male,South,30.0,Smartphone,Electronics,800.0,2,1600,11.44,Returned,2023-06-09,"(25, 35]",2023,June,9,False,20-29
CUST0293,Female,East,32.0,Smartwatch,Wearables,200.0,5,1000,7.16,In Transit,2023-06-21,"(25, 35]",2023,June,21,False,30-39
CUST0049,Female,West,59.0,Monitor,Electronics,300.0,4,1200,17.37,In Transit,2023-11-26,"(50, 100]",2023,November,26,False,50-59
CUST0283,Female,East,67.0,Smartphone,Electronics,800.0,5,4000,12.17,Delivered,2023-11-08,"(50, 100]",2023,November,8,True,60+
CUST0196,Female,South,37.0,Mouse,Accessories,30.0,3,90,19.41,Returned,2023-12-27,"(35, 50]",2023,December,27,False,30-39
CUST0050,Male,North,,Mouse,Accessories,30.0,3,90,6.97,Returned,2023-06-06,Unknown,2023,June,6,False,
CUST0007,Female,East,52.0,Headphones,Accessories,100.0,2,200,12.0,In Transit,2023-10-28,"(50, 100]",2023,October,28,False,50-59
CUST0242,Male,North,58.0,Smartphone,Electronics,800.0,4,3200,18.11,Unknown,2023-12-30,"(50, 100]",2023,December,30,False,50-59
CUST0042,Female,South,57.0,Keyboard,Accessories,50.0,1,50,9.6,Delivered,2023-12-04,"(50, 100]",2023,December,4,True,50-59
CUST0264,Male,East,59.0,Smartphone,Electronics,1658.4323266595477,2,1600,11.59,In Transit,2023-02-01,"(50, 100]",2023,February,1,False,50-59
CUST0053,Female,North,25.0,Smartwatch,Wearables,200.0,1,200,14.9,Delivered,2023-08-14,"(18, 25]",2023,August,14,True,20-29
CUST0154,Female,East,31.0,Smartphone,Electronics,800.0,1,800,19.22,In Transit,2023-12-07,"(25, 35]",2023,December,7,False,30-39
CUST0190,Male,North,28.0,Keyboard,Accessories,50.0,4,200,15.31,Delivered,2023-06-28,"(25, 35]",2023,June,28,True,20-29
CUST0038,Female,East,57.0,Monitor,Electronics,300.0,2,600,12.38,Returned,2023-11-17,"(50, 100]",2023,November,17,False,50-59
CUST0288,Female,South,,Laptop,Electronics,1500.0,4,6000,12.91,Delivered,2023-01-25,Unknown,2023,January,25,True,
CUST0124,Female,South,53.0,Monitor,Electronics,300.0,2,600,18.38,In Transit,2023-09-05,"(50, 100]",2023,September,5,False,50-59
CUST0298,Female,South,58.0,Headphones,Accessories,100.0,5,500,7.41,Delivered,2023-09-17,"(50, 100]",2023,September,17,True,50-59
CUST0211,Female,South,35.0,Mouse,Accessories,30.0,3,90,11.42,Delivered,2023-12-25,"(25, 35]",2023,December,25,True,30-39
CUST0060,Male,North,41.0,Laptop,Electronics,1500.0,4,6000,7.13,Delivered,2023-01-14,"(35, 50]",2023,January,14,True,40-49
CUST0284,Female,West,64.0,Monitor,Electronics,300.0,1,300,6.55,Returned,2023-08-01,"(50, 100]",2023,August,1,False,60+
CUST0282,Male,North,,Smartphone,Electronics,800.0,2,1600,9.72,Delivered,2023-02-12,Unknown,2023,February,12,True,
CUST0205,Female,South,43.0,Monitor,Electronics,300.0,2,600,18.27,In Transit,2023-05-18,"(35, 50]",2023,May,18,False,40-49
CUST0222,Female,Unknown,61.0,Smartphone,Electronics,800.0,2,1600,6.01,Returned,2023-10-03,"(50, 100]",2023,October,3,False,60+
CUST0299,Male,East,58.0,Keyboard,Accessories,50.0,2,100,9.57,Returned,2023-08-30,"(50, 100]",2023,August,30,False,50-59
CUST0064,Male,West,61.0,Monitor,Electronics,300.0,1,300,13.82,Returned,2023-09-15,"(50, 100]",2023,September,15,False,60+
CUST0073,Male,East,19.0,Keyboard,Accessories,50.0,4,200,5.32,Delivered,2023-02-14,"(18, 25]",2023,February,14,True,<20
CUST0154,Male,North,31.0,Keyboard,Accessories,50.0,3,150,7.46,Delivered,2023-02-27,"(25, 35]",2023,February,27,True,30-39
CUST0081,Male,North,38.0,Monitor,Electronics,300.0,1,300,17.22,Returned,2023-08-13,"(35, 50]",2023,August,13,False,30-39
CUST0247,Male,East,44.0,Headphones,Accessories,100.0,2,200,8.15,In Transit,2023-05-09,"(35, 50]",2023,May,9,False,40-49
CUST0130,Male,East,68.0,Monitor,Electronics,300.0,2,600,9.56,Unknown,2023-12-23,"(50, 100]",2023,December,23,False,60+
CUST0178,Male,West,44.0,Smartwatch,Wearables,200.0,3,600,18.09,In Transit,2023-10-28,"(35, 50]",2023,October,28,False,40-49
CUST0131,Female,West,67.0,Laptop,Electronics,1500.0,4,6000,7.01,Delivered,2023-09-01,"(50, 100]",2023,September,1,True,60+
CUST0070,Male,West,23.0,Monitor,Electronics,300.0,3,900,12.58,Returned,2023-04-16,"(18, 25]",2023,April,16,False,20-29
CUST0122,Male,West,68.0,Headphones,Accessories,100.0,2,200,13.49,In Transit,2023-12-13,"(50, 100]",2023,December,13,False,60+
CUST0168,Female,East,42.0,Monitor,Electronics,300.0,4,1200,18.15,In Transit,2023-03-27,"(35, 50]",2023,March,27,False,40-49
CUST0176,Male,South,51.0,Laptop,Electronics,1500.0,2,3000,7.43,Delivered,2023-11-16,"(50, 100]",2023,November,16,True,50-59
CUST0064,Female,West,61.0,Laptop,Electronics,1500.0,2,3000,5.42,Returned,2023-06-14,"(50, 100]",2023,June,14,False,60+
CUST0125,Female,South,46.0,Smartphone,Electronics,800.0,5,4000,10.62,Returned,2023-01-26,"(35, 50]",2023,January,26,False,40-49
CUST0165,Female,West,49.0,Keyboard,Accessories,50.0,4,200,19.72,Unknown,2023-12-25,"(35, 50]",2023,December,25,False,40-49
CUST0057,Male,North,62.0,Keyboard,Accessories,50.0,4,200,12.79,Delivered,2023-09-29,"(50, 100]",2023,September,29,True,60+
CUST0207,Male,South,54.0,Laptop,Electronics,1500.0,1,1500,5.16,Delivered,2023-03-14,"(50, 100]",2023,March,14,True,50-59
